
{'loss': 2.1767, 'grad_norm': 38.5619010925293, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.7138, 'grad_norm': 23.62561798095703, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.7591, 'grad_norm': 25.2395076751709, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.8245, 'grad_norm': 24.94434928894043, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.7564, 'grad_norm': 15.870711326599121, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.6313, 'grad_norm': 21.62921142578125, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.7118, 'grad_norm': 18.039207458496094, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.6925, 'grad_norm': 19.15394401550293, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.7715, 'grad_norm': 28.001440048217773, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 1.7615, 'grad_norm': 12.450813293457031, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.6986, 'grad_norm': 8.414057731628418, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7485, 'grad_norm': 26.971132278442383, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7335, 'grad_norm': 9.410938262939453, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.72, 'grad_norm': 14.019997596740723, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.6621, 'grad_norm': 18.540578842163086, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7253, 'grad_norm': 28.125202178955078, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.6518, 'grad_norm': 20.769306182861328, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7204, 'grad_norm': 31.8662166595459, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7223, 'grad_norm': 9.848424911499023, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7533, 'grad_norm': 12.910354614257812, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7219, 'grad_norm': 17.093229293823242, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7512, 'grad_norm': 9.573140144348145, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7381, 'grad_norm': 14.232352256774902, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7062, 'grad_norm': 13.835870742797852, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.5807, 'grad_norm': 26.631732940673828, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7575, 'grad_norm': 28.26401710510254, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.8519, 'grad_norm': 12.176151275634766, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.7605, 'grad_norm': 24.607568740844727, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7076, 'grad_norm': 15.695577621459961, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7265, 'grad_norm': 24.03568458557129, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.724, 'grad_norm': 23.914997100830078, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7161, 'grad_norm': 11.467402458190918, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.728, 'grad_norm': 26.191043853759766, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.622, 'grad_norm': 17.46478271484375, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.6575, 'grad_norm': 13.685057640075684, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7031, 'grad_norm': 27.925859451293945, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7903, 'grad_norm': 14.41943073272705, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7017, 'grad_norm': 24.025489807128906, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7038, 'grad_norm': 13.992347717285156, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.6962, 'grad_norm': 10.530909538269043, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7384, 'grad_norm': 18.179595947265625, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7209, 'grad_norm': 12.946684837341309, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7614, 'grad_norm': 21.342750549316406, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7114, 'grad_norm': 11.752750396728516, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.6342, 'grad_norm': 19.569334030151367, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7134, 'grad_norm': 26.068220138549805, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.727, 'grad_norm': 18.296215057373047, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.7347, 'grad_norm': 14.434703826904297, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.7783, 'grad_norm': 34.21546936035156, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.684, 'grad_norm': 8.565284729003906, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.716, 'grad_norm': 21.602441787719727, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.7362, 'grad_norm': 19.44519805908203, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.7171, 'grad_norm': 17.36123275756836, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.7897, 'grad_norm': 13.656847953796387, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.6882, 'grad_norm': 22.722427368164062, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.7153, 'grad_norm': 25.944169998168945, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.7628, 'grad_norm': 19.168621063232422, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.6886, 'grad_norm': 21.514734268188477, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 1.7343, 'grad_norm': 20.092300415039062, 'learning_rate': 2e-05, 'epoch': 0.03}
