torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([429, 32, 64]) torch.Size([429, 4, 64]) torch.Size([429, 4, 64]) torch.Size([3]) torch.Size([3]) 226 226 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([713, 32, 64]) torch.Size([713, 4, 64]) torch.Size([713, 4, 64]) torch.Size([3]) torch.Size([3]) 484 484 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
torch.Size([568, 32, 64]) torch.Size([568, 4, 64]) torch.Size([568, 4, 64]) torch.Size([3]) torch.Size([3]) 293 293 0.0 None True
